kind,source_path,destination_path,sha256,settings,notes
plot_data,Raw data/bgk_r02_calibrated_t1_nex12/reference_values/path_sweep/bgk_r02_calibrated_t1_nex12_path_sweep_k70_steps60_direct_ref1200_paths1200000_table.csv,Raw data/bgk_r02_calibrated_t1_nex12/plot_data/bgk_r02_calibrated_t1_nex12_path_sweep_steps60_k70_benchmark.csv,06c7459f1b9bdd6874fc5f8d40ff1cd7ddd29df7e345ac4b7903d01fa7dc73fe,60 steps; reported path grid,benchmark plot data for K=70
plot_data,Raw data/bgk_r02_calibrated_t1_nex12/reference_values/path_sweep/bgk_r02_calibrated_t1_nex12_path_sweep_k70_steps60_direct_ref1200_paths1200000_table.csv,Raw data/bgk_r02_calibrated_t1_nex12/plot_data/bgk_r02_calibrated_t1_nex12_path_sweep_steps60_k70_hybrid.csv,c82797327f9e2b32d3d5ffa6dbcad5a0767e733c8015630c078600f20f547305,60 steps; reported path grid,hybrid plot data for K=70
plot_data,Raw data/bgk_r02_calibrated_t1_nex12/reference_values/path_sweep/bgk_r02_calibrated_t1_nex12_path_sweep_k80_steps60_direct_ref1200_paths1200000_table.csv,Raw data/bgk_r02_calibrated_t1_nex12/plot_data/bgk_r02_calibrated_t1_nex12_path_sweep_steps60_k80_benchmark.csv,5463c8854ad5373d0132a55e7ddce219acc63770e8bf4d040ea708d848eebb32,60 steps; reported path grid,benchmark plot data for K=80
plot_data,Raw data/bgk_r02_calibrated_t1_nex12/reference_values/path_sweep/bgk_r02_calibrated_t1_nex12_path_sweep_k80_steps60_direct_ref1200_paths1200000_table.csv,Raw data/bgk_r02_calibrated_t1_nex12/plot_data/bgk_r02_calibrated_t1_nex12_path_sweep_steps60_k80_hybrid.csv,55a150c194c2f3d1b3c1fe7f94c019793f733b27751bcdd775d2474b700599a2,60 steps; reported path grid,hybrid plot data for K=80
plot_data,Raw data/bgk_r02_calibrated_t1_nex12/reference_values/path_sweep/bgk_r02_calibrated_t1_nex12_path_sweep_k90_steps60_direct_ref1200_paths1200000_table.csv,Raw data/bgk_r02_calibrated_t1_nex12/plot_data/bgk_r02_calibrated_t1_nex12_path_sweep_steps60_k90_benchmark.csv,f586361618a2f6b1d3fa72cc6765c0a8dde9f813ef0384123dd346d0e4d79814,60 steps; reported path grid,benchmark plot data for K=90
plot_data,Raw data/bgk_r02_calibrated_t1_nex12/reference_values/path_sweep/bgk_r02_calibrated_t1_nex12_path_sweep_k90_steps60_direct_ref1200_paths1200000_table.csv,Raw data/bgk_r02_calibrated_t1_nex12/plot_data/bgk_r02_calibrated_t1_nex12_path_sweep_steps60_k90_hybrid.csv,e2e386384189ad9ec3abf9935f7bc4d906405e4f2f607559eecf3c26afc5a48f,60 steps; reported path grid,hybrid plot data for K=90
plot_data,Raw data/bgk_r02_calibrated_t1_nex12/reference_values/path_sweep/bgk_r02_calibrated_t1_nex12_path_sweep_k100_steps60_direct_ref1200_paths1200000_table.csv,Raw data/bgk_r02_calibrated_t1_nex12/plot_data/bgk_r02_calibrated_t1_nex12_path_sweep_steps60_k100_benchmark.csv,3b471639cc3afc964ee213ca510a0a7af39b7f40710d6d36ffc1699942a58e75,60 steps; reported path grid,benchmark plot data for K=100
plot_data,Raw data/bgk_r02_calibrated_t1_nex12/reference_values/path_sweep/bgk_r02_calibrated_t1_nex12_path_sweep_k100_steps60_direct_ref1200_paths1200000_table.csv,Raw data/bgk_r02_calibrated_t1_nex12/plot_data/bgk_r02_calibrated_t1_nex12_path_sweep_steps60_k100_hybrid.csv,5aef8942586dc7d231d05cbbe6899c7ef9760d72e558f56faa17f52766599ae8,60 steps; reported path grid,hybrid plot data for K=100
plot_data,Raw data/bgk_r02_calibrated_t1_nex12/reference_values/path_sweep/bgk_r02_calibrated_t1_nex12_path_sweep_k110_steps60_direct_ref1200_paths1200000_table.csv,Raw data/bgk_r02_calibrated_t1_nex12/plot_data/bgk_r02_calibrated_t1_nex12_path_sweep_steps60_k110_benchmark.csv,9c45940e9cdd92fbb03a159124f14107f6633b5aafb83fa21be3697901b9bc2f,60 steps; reported path grid,benchmark plot data for K=110
plot_data,Raw data/bgk_r02_calibrated_t1_nex12/reference_values/path_sweep/bgk_r02_calibrated_t1_nex12_path_sweep_k110_steps60_direct_ref1200_paths1200000_table.csv,Raw data/bgk_r02_calibrated_t1_nex12/plot_data/bgk_r02_calibrated_t1_nex12_path_sweep_steps60_k110_hybrid.csv,efaa594bd06f56d2e67be087574c28f1491d06a7eb4cd3aac2d2b3c9df82e5f8,60 steps; reported path grid,hybrid plot data for K=110
figure,Raw data/bgk_r02_calibrated_t1_nex12/reference_values/bgk_r02_calibrated_t1_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,Figures/step_sweep_20k_direct_relative_error.pdf,f345f898826161d443a54ac232a2bb6303b8677e88b6f8dec849ba6b85984894,20000 path step sweep,pdf figure
figure,Raw data/bgk_r02_calibrated_t1_nex12/reference_values/bgk_r02_calibrated_t1_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,Figures/step_sweep_60k_direct_relative_error.pdf,9a85da5a49ae21494fe87d79f10ccf72e4ba7c273b4f14a76fa6928e8b23a28f,60000 path step sweep,pdf figure
figure,Raw data/bgk_r02_calibrated_t1_nex12/plot_data/bgk_r02_calibrated_t1_nex12_path_sweep_steps48_k100_benchmark.csv;Raw data/bgk_r02_calibrated_t1_nex12/plot_data/bgk_r02_calibrated_t1_nex12_path_sweep_steps48_k100_hybrid.csv;Raw data/bgk_r02_calibrated_t1_nex12/plot_data/bgk_r02_calibrated_t1_nex12_path_sweep_steps48_k110_benchmark.csv;Raw data/bgk_r02_calibrated_t1_nex12/plot_data/bgk_r02_calibrated_t1_nex12_path_sweep_steps48_k110_hybrid.csv;Raw data/bgk_r02_calibrated_t1_nex12/plot_data/bgk_r02_calibrated_t1_nex12_path_sweep_steps48_k70_benchmark.csv;Raw data/bgk_r02_calibrated_t1_nex12/plot_data/bgk_r02_calibrated_t1_nex12_path_sweep_steps48_k70_hybrid.csv;Raw data/bgk_r02_calibrated_t1_nex12/plot_data/bgk_r02_calibrated_t1_nex12_path_sweep_steps48_k80_benchmark.csv;Raw data/bgk_r02_calibrated_t1_nex12/plot_data/bgk_r02_calibrated_t1_nex12_path_sweep_steps48_k80_hybrid.csv;Raw data/bgk_r02_calibrated_t1_nex12/plot_data/bgk_r02_calibrated_t1_nex12_path_sweep_steps48_k90_benchmark.csv;Raw data/bgk_r02_calibrated_t1_nex12/plot_data/bgk_r02_calibrated_t1_nex12_path_sweep_steps48_k90_hybrid.csv,Figures/path_sweep_steps48_direct_relative_error.pdf,87e08487286c5cdd43d8561ae9736e5500be5eda1acefde8170a0535249508ab,48-step path sweep,pdf figure
figure,Raw data/bgk_r02_calibrated_t1_nex12/plot_data/bgk_r02_calibrated_t1_nex12_path_sweep_steps60_k100_benchmark.csv;Raw data/bgk_r02_calibrated_t1_nex12/plot_data/bgk_r02_calibrated_t1_nex12_path_sweep_steps60_k100_hybrid.csv;Raw data/bgk_r02_calibrated_t1_nex12/plot_data/bgk_r02_calibrated_t1_nex12_path_sweep_steps60_k110_benchmark.csv;Raw data/bgk_r02_calibrated_t1_nex12/plot_data/bgk_r02_calibrated_t1_nex12_path_sweep_steps60_k110_hybrid.csv;Raw data/bgk_r02_calibrated_t1_nex12/plot_data/bgk_r02_calibrated_t1_nex12_path_sweep_steps60_k70_benchmark.csv;Raw data/bgk_r02_calibrated_t1_nex12/plot_data/bgk_r02_calibrated_t1_nex12_path_sweep_steps60_k70_hybrid.csv;Raw data/bgk_r02_calibrated_t1_nex12/plot_data/bgk_r02_calibrated_t1_nex12_path_sweep_steps60_k80_benchmark.csv;Raw data/bgk_r02_calibrated_t1_nex12/plot_data/bgk_r02_calibrated_t1_nex12_path_sweep_steps60_k80_hybrid.csv;Raw data/bgk_r02_calibrated_t1_nex12/plot_data/bgk_r02_calibrated_t1_nex12_path_sweep_steps60_k90_benchmark.csv;Raw data/bgk_r02_calibrated_t1_nex12/plot_data/bgk_r02_calibrated_t1_nex12_path_sweep_steps60_k90_hybrid.csv,Figures/path_sweep_steps60_direct_relative_error.pdf,9c63af6172b3d4c83db78d337b26820cafb8e4253fd211f8add9babeba4805e2,60-step path sweep,pdf figure
